emotion,keystrokes
Happy, f8 ctrl_l\x13a.py
asd, f8 ctrl_l\x13a.py
Panic," shift Su= backspace  backspace  backspace si backspace  backspace  shift  shift  shift  shift  shift  shift Z=== backspace  backspac0e backspace  backspace  backspace size  backspace - backspace =  backspace  backspace  backspace  backspace  backspace  backspace 
"
Bored,"size = int  shift (""""inout backspace  backspace  backspace put  backspace  right shift ( shift "" shift Enter the range  right left left shift : right right right right
pei backspace ri backspace  backspace  backspace rei backspace  backspace int  backspace  shift ( shift ""\\n  shift Fk backspace lot backspace y;d backspace  backspace """"d backspace  backspace  backspace yd""""s  backspace  backspace  backspace s backspace """"s triangle with u backspace number  backspace  shift : \\n right right right

k = 1"
Happy," shift  shift  shift For i in angr backspace  backspace  backspace  backspace range  shift (i,size  shift +1  backspace  right shift : k = k  shift +1
print shift (
 backspace  backspace  backspace  down
pein backspace  backspace  backspace rint  shift ( shift ""\\n right right
print  shift ( shift ""\\n  shift Floyd""""s  shift T backspace  shift Trin backspace angle with  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift *  backspace """"s  backspace  shift : \\n right
 backspace  backspace  rightprint backspace  backspace  backspace  backspace  backspace 
print  backspace  shift < backspace  shift (k,end = 11 backspace  backspace  shift  shift """" right
 shift  backspace  backspace  shift :"
Frustrated,fo backspace  backspace  backspace p backspace 
Happy,"for i n=u backspace  backspace  backspace in rn backspace ange  shift (i, size  shift + i  backspace  shift ) right shift :
 shift F backspace for j in range  backspace  shift (i,i shift _ backspace  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift +1 right shift :
print  backspace  shift ( shift "" backspace """" shift * right,end  backspace  =  shift "" right right
"
Frustrated,"pri
 shift ( right
prin"
Panic," shift ( shift ""\\n right right right] backspace 
ty r backspace  backspace  backspace  backspace  backspace py 
ty r backspace  backspace  backspace  backspace  backspace py a.py
12 backspace  backspace 4"
Frustrated,12 backspace  backspace 4
