data_label,time_start,time_end,emotion,keystrokes,backspace ,shift ,function,ctrl,equals,letter,others,enter,spacebar,arrow,tab,height,width
1,0,9,Happy, f8 ctrl_l\x13a.py,0,0,1,1,0,0,0,0,0,0,0,2,0
2,10,20,Panic," shift Su= backspace  backspace  backspace si backspace  backspace  shift  shift  shift  shift  shift  shift Z=== backspace  backspac0e backspace  backspace  backspace size  backspace - backspace =  backspace  backspace  backspace  backspace  backspace  backspace 
",18,7,0,0,5,0,2,1,0,0,0,30,3
3,21,26,Bored,"size = int  shift (""""inout backspace  backspace  backspace put  backspace  right shift ( shift "" shift Enter the range  right left left shift : right right right right
pei backspace ri backspace  backspace  backspace rei backspace  backspace int  backspace  shift ( shift ""\\n  shift Fk backspace lot backspace y;d backspace  backspace """"d backspace  backspace  backspace yd""""s  backspace  backspace  backspace s backspace """"s triangle with u backspace number  backspace  shift : \\n right right right

k = 1",27,9,0,0,1,57,21,10,11,11,0,37,53
1,27,121,Happy," shift  shift  shift For i in angr backspace  backspace  backspace  backspace range  shift (i,size  shift +1  backspace  right shift : k = k  shift +1
print shift (
 backspace  backspace  backspace  down
pein backspace  backspace  backspace rint  shift ( shift ""\\n right right
print  shift ( shift ""\\n  shift Floyd""""s  shift T backspace  shift Trin backspace angle with  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift *  backspace """"s  backspace  shift : \\n right
 backspace  backspace  rightprint backspace  backspace  backspace  backspace  backspace 
print  backspace  shift < backspace  shift (k,end = 11 backspace  backspace  shift  shift """" right
 shift  backspace  backspace  shift :",11,11,0,3,2,41,17,10,12,4,0,27,43
4,122,172,Frustrated,fo backspace  backspace  backspace p backspace ,4,0,0,0,0,2,0,0,0,0,0,4,0
1,173,199,Happy,"for i n=u backspace  backspace  backspace in rn backspace ange  shift (i, size  shift + i  backspace  shift ) right shift :
 shift F backspace for j in range  backspace  shift (i,i shift _ backspace  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift  shift +1 right shift :
print  backspace  shift ( shift "" backspace """" shift * right,end  backspace  =  shift "" right right
",15,8,0,1,4,26,12,8,9,9,0,28,38
4,200,293,Frustrated,"pri
 shift ( right
prin",0,1,0,0,0,7,1,3,0,1,0,1,5
2,294,304,Panic," shift ( shift ""\\n right right right] backspace 
ty r backspace  backspace  backspace  backspace  backspace py 
ty r backspace  backspace  backspace  backspace  backspace py a.py
12 backspace  backspace 4",13,2,0,0,0,11,9,4,3,3,0,15,19
4,305,323,Frustrated,12 backspace  backspace 4,2,0,0,0,0,0,3,0,0,0,0,2,3
1,324,363,Happy, ctrl_l\x13 down right down right down shift _r left right left right left left right right left left left left left left left left left left left left up ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l ctrl_l DELETED ,0,1,0,13,0,0,0,0,0,25,0,14,25
4,0,45,Frustrated," alt_l ctrl_l delete f8 f8 f8 f8prit backspace nt  backspace  backspace  backspace  backspace  backspace  backspace  shift _rP backspace print = backspace def  shift _r( right right down leftprint === backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace  backspace /siz backspace  backspace  backspace  backspace /siz== backspace  backspace  backspace  backspace  backspace  backspace  shift _rSize = int shift _r(ip backspace nput  backspace  shift _r( shift _r"""" left shift _rEnter the  shift _r? backspace  shift _rRange  shift _r:  backspace / backspace \\t right right right
 shift _rO backspace  shift _rPrint  insert backspace  shift _r( shift _r""\\n shift _rFlo backspace  backspace  backspace  backspace  backspace \\nl backspace  backspace n shift _rFl backspace  backspace floyd  backspace """""""" backspace s  backspace  shift _r  shift _rTrianglel  backspace  backspace  backspace le backspace  backspace e  shift _rWith  shift _rNumbers  shift _r:\\n right right
",21,18,4,0,6,27,48,6,15,7,0,49,76
